Country,Code,Year,Internet_Users_Percent,Region,IncomeGroup
Switzerland,CHE,1994,2.72,Europe & Central Asia,High income
Chile,CHL,1994,0.141,Latin America & Caribbean,High income
China,CHN,1994,0.00117,East Asia & Pacific,Upper middle income
Colombia,COL,1994,0.107,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1994,0.28,Latin America & Caribbean,High income
Cayman Islands,CYM,1994,0.0,Latin America & Caribbean,High income
Cyprus,CYP,1994,0.111,Europe & Central Asia,High income
Czechia,CZE,1994,1.26,Europe & Central Asia,High income
Germany,DEU,1994,0.923,Europe & Central Asia,High income
Denmark,DNK,1994,1.34,Europe & Central Asia,High income
Algeria,DZA,1994,0.000361,Middle East & North Africa,Upper middle income
Ecuador,ECU,1994,0.0348,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1994,0.00638,Middle East & North Africa,Lower middle income
Eritrea,ERI,1994,0.0,Sub-Saharan Africa,Low income
Spain,ESP,1994,0.28,Europe & Central Asia,High income
Estonia,EST,1994,1.16,Europe & Central Asia,High income
Finland,FIN,1994,4.92,Europe & Central Asia,High income
Fiji,FJI,1994,0.00791,East Asia & Pacific,Upper middle income
France,FRA,1994,0.9,Europe & Central Asia,High income
United Kingdom,GBR,1994,1.04,Europe & Central Asia,High income
Guinea,GIN,1994,0.000138,Sub-Saharan Africa,Lower middle income
Greece,GRC,1994,0.378,Europe & Central Asia,High income
Grenada,GRD,1994,0.0,Latin America & Caribbean,Upper middle income
Greenland,GRL,1994,0.0647,Europe & Central Asia,High income
Guam,GUM,1994,0.348,East Asia & Pacific,High income
"Hong Kong SAR, China",HKG,1994,2.78,East Asia & Pacific,High income
Croatia,HRV,1994,0.268,Europe & Central Asia,High income
Hungary,HUN,1994,0.484,Europe & Central Asia,High income
Indonesia,IDN,1994,0.00106,East Asia & Pacific,Upper middle income
India,IND,1994,0.00107,South Asia,Lower middle income
Ireland,IRL,1994,0.558,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1994,0.000408,Middle East & North Africa,Upper middle income
Iceland,ISL,1994,6.79,Europe & Central Asia,High income
Israel,ISR,1994,0.577,Middle East & North Africa,High income
Italy,ITA,1994,0.192,Europe & Central Asia,High income
Jamaica,JAM,1994,0.0368,Latin America & Caribbean,Upper middle income
Japan,JPN,1994,0.8,East Asia & Pacific,High income
Kazakhstan,KAZ,1994,0.000521,Europe & Central Asia,Upper middle income
"Korea, Rep.",KOR,1994,0.311,East Asia & Pacific,High income
Kuwait,KWT,1994,0.147,Middle East & North Africa,High income
Sri Lanka,LKA,1994,0.00277,South Asia,Lower middle income
Luxembourg,LUX,1994,0.496,Europe & Central Asia,High income
"Macao SAR, China",MAC,1994,0.037,East Asia & Pacific,High income
Moldova,MDA,1994,0.000825,Europe & Central Asia,Upper middle income
Maldives,MDV,1994,0.0,South Asia,Upper middle income
Mexico,MEX,1994,0.0433,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1994,0.0,East Asia & Pacific,Upper middle income
Malaysia,MYS,1994,0.0996,East Asia & Pacific,Upper middle income
Nicaragua,NIC,1994,0.0132,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1994,3.26,Europe & Central Asia,High income
Norway,NOR,1994,4.15,Europe & Central Asia,High income
Nepal,NPL,1994,0.0,South Asia,Lower middle income
New Zealand,NZL,1994,3.17,East Asia & Pacific,High income
Panama,PAN,1994,0.00764,Latin America & Caribbean,High income
Peru,PER,1994,0.0085,Latin America & Caribbean,Upper middle income
Philippines,PHL,1994,0.00584,East Asia & Pacific,Lower middle income
Poland,POL,1994,0.389,Europe & Central Asia,High income
Puerto Rico (US),PRI,1994,0.0273,Latin America & Caribbean,High income
Portugal,PRT,1994,0.719,Europe & Central Asia,High income
Romania,ROU,1994,0.0263,Europe & Central Asia,High income
